Day,💪🏽 workout,🇪🇸duolingo,👨🏽‍💻personal coding,🙈OGC,🍱Homemade lunch
1st,No,No,No,Yes,No
2nd,No,No,No,No,Yes
3rd,Yes,No,No,No,Yes
4th,No,No,Yes,Yes,Yes
5th,Yes,Yes,No,Yes,No
6th,No,Yes,No,No,Yes
7th,No,Yes,No,Yes,No
8th,No,Yes,No,No,Yes
9th,No,Yes,No,Yes,Yes
10th,No,No,Yes,Yes,No
11th,Yes,No,Yes,Yes,Yes
12th,No,Yes,No,Yes,No
13th,Yes,No,No,No,Yes
14th,No,No,No,Yes,No
15th,Yes,No,No,Yes,Yes
16th,No,No,No,Yes,No
17th-,Yes,Yes,No,No,No
18th,No,No,No,No,No
19th,No,No,No,No,No
20th,Yes,Yes,No,No,Yes
21st,No,No,No,Yes,No
22nd,No,No,Yes,No,Yes
23rd,Yes,No,Yes,Yes,Yes
24th,No,No,No,No,Yes
25th,Yes,No,No,No,No
26th,No,No,No,Yes,Yes
27th,Yes,No,No,No,Yes
28th,No,No,No,Yes,No
29th,No,No,No,No,Yes
30th,No,No,No,No,No
