Day,💪🏽 workout,☕️ early,🍳breakfast,OGC,🍱Homemade lunch,🍲 homemade dinner
,No,No,No,No,No,No
1st,No,No,No,Yes,No,No
2nd,No,Yes,Yes,No,No,No
3rd,No,Yes,Yes,Yes,No,No
4th,No,Yes,Yes,Yes,No,No
5th,No,Yes,Yes,Yes,No,No
6th,Yes,Yes,Yes,Yes,No,No
7th,Yes,No,No,No,No,No
8th,No,No,Yes,No,No,No
9th,No,No,Yes,Yes,No,No
10th,No,No,No,No,No,No
11th,No,No,No,No,No,No
12th,No,No,No,No,No,No
13th,No,No,No,No,No,No
14th,No,No,No,No,No,No
15th,No,No,No,No,No,No
16th,No,No,No,No,No,No
17th,No,No,No,No,No,No
18th,Yes,No,No,No,No,No
19th,No,No,No,No,No,No
20th,No,No,No,No,No,No
21st,No,No,No,No,No,No
22nd,Yes,Yes,Yes,Yes,Yes,Yes
23rd,No,Yes,Yes,Yes,Yes,No
24th,No,No,No,No,No,Yes
25th,No,No,No,Yes,No,Yes
26th,No,No,No,Yes,No,Yes
27th,Yes,No,No,Yes,No,Yes
28th,No,No,No,Yes,No,Yes
29th,Yes,Yes,Yes,Yes,No,No
30th,No,Yes,Yes,Yes,No,Yes
